"ttl","data__stations__lon","data__stations__lat","data__stations__rental_uris__ios","data__stations__rental_uris__android","data__stations___bcycle_station_type","data__stations__region_id","data__stations__address","data__stations__name","data__stations__station_id","version","last_updated"
"60","-118.25854","34.04850","https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3005&platform=iOS","https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3005&platform=android","Kiosk and Station","bcycle_lametro_region_1","Reinstalled 6/15","7th & Flower","bcycle_lametro_3005","1.1","1670927660"
"","-118.25667","34.04554","https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3006&platform=iOS","https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3006&platform=android","Kiosk and Station","bcycle_lametro_region_1","729 S Olive Street","Olive & 8th","bcycle_lametro_3006","",""
"","-118.25459","34.05048","https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3007&platform=iOS","https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3007&platform=android","Kiosk and Station","bcycle_lametro_region_1","557 S 5th Street","5th & Grand","bcycle_lametro_3007","",""
"","-118.26273","34.04661","https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3008&platform=iOS","https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3008&platform=android","Kiosk and Station","bcycle_lametro_region_1","865 S Figueroa Street","Figueroa & 9th","bcycle_lametro_3008","",""
"","-118.25487","34.03705","https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3010&platform=iOS","https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3010&platform=android","Kiosk and Station","bcycle_lametro_region_1","401 East 11th Street","11th & Maple","bcycle_lametro_3010","",""
"","-118.26798","34.04113","https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3011&platform=iOS","https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3011&platform=android","Kiosk and Station","bcycle_lametro_region_1","1259-1299 S Figueroa Street","Figueroa & Pico","bcycle_lametro_3011","",""
"","-118.23721","34.05661","https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3014&platform=iOS","https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3014&platform=android","Kiosk and Station","bcycle_lametro_region_1","834 N Alameda St","Union Station West Portal","bcycle_lametro_3014","",""
"","-118.24156","34.05290","https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3016&platform=iOS","https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3016&platform=android","Kiosk and Station","bcycle_lametro_region_1","201 N Los Angeles Street","Los Angeles & Temple","bcycle_lametro_3016","",""
"","-118.26014","34.04373","https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3018&platform=iOS","https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3018&platform=android","Kiosk and Station","bcycle_lametro_region_1","919 S Grand Ave.","Grand & Olympic","bcycle_lametro_3018","",""
"","-118.26086","34.03861","https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3019&platform=iOS","https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3019&platform=android","Kiosk and Station","bcycle_lametro_region_1","129 W 12th Street","12th & Hill","bcycle_lametro_3019","",""
