,start_count,end_count,sum,station_name,ziped_coords
0,13890,14630,28520,7th & Flower,"(34.0485, -118.25854)"
1,13005,11377,24382,Main & 1st,"(34.05194, -118.24353)"
2,10783,11996,22779,Union Station West Portal,"(34.05661, -118.23721)"
3,8647,9117,17764,7th & Spring,"(34.0447, -118.25244)"
4,8107,7922,16029,Ocean Front Walk & Navy,"(33.99556, -118.48155)"
5,6616,6804,13420,Olive & 8th,"(34.04554, -118.25667)"
6,6070,6795,12865,1st & Central,"(34.0493, -118.23881)"
7,6176,6270,12446,Figueroa & 8th,"(34.0484, -118.26095)"
8,5556,5844,11400,Grand & 8th,"(34.04613, -118.25759)"
9,4707,5356,10063,Traction & Rose,"(34.04652, -118.23741)"
10,5310,4558,9868,Ocean Front Walk & North Venice,"(33.98434, -118.47155)"
11,5044,4614,9658,Main & 6th,"(34.04518, -118.25024)"
12,5087,4384,9471,5th & Grand,"(34.05048, -118.25459)"
13,4783,4612,9395,Hope & Olympic,"(34.04417, -118.26117)"
15,4504,4473,8977,Broadway & 3rd,"(34.05088, -118.24825)"
16,4142,4626,8768,Hope & 6th,"(34.04989, -118.25588)"
17,3965,4359,8324,Pershing Square,"(34.04804, -118.25374)"
18,4409,3757,8166,Spring & 3rd,"(34.04998, -118.24716)"
19,3673,3910,7583,Hope & 11th,"(34.04206, -118.26338)"
20,3983,3530,7513,2nd & Figueroa,"(34.05697, -118.25359)"
21,3627,3746,7373,3rd & Santa Fe,"(34.04607, -118.23309)"
23,3564,3762,7326,Broadway & 9th,"(34.04211, -118.25619)"
24,3688,3603,7291,Figueroa & 9th,"(34.04661, -118.26273)"
26,3584,3590,7174,Grand & Olympic,"(34.04373, -118.26014)"
27,3598,3518,7116,12th & Hill,"(34.03861, -118.26086)"
29,3025,3241,6266,Pico & Flower,"(34.03998, -118.2664)"
30,3099,3154,6253,Los Angeles & Temple,"(34.0529, -118.24156)"
32,2613,2878,5491,9th & Los Angeles,"(34.0406, -118.25384)"
33,3766,1630,5396,Grand & 3rd,"(34.0532, -118.25095)"
34,2729,2593,5322,Spring & College,"(34.06339, -118.23616)"
35,2612,2701,5313,3rd & San Pedro,"(34.04775, -118.24317)"
36,2716,2582,5298,Park & Echo Park,"(34.07483, -118.25873)"
37,2875,2239,5114,7th & Bixel,"(34.0511, -118.26456)"
39,2716,2300,5016,Figueroa & Cesar Chavez,"(34.06318, -118.24588)"
40,2502,2411,4913,Main & 9th,"(34.04099, -118.2558)"
41,2204,2515,4719,5th & Hewitt,"(34.04169, -118.23535)"
42,2263,2341,4604,28th & Figueroa,"(34.02629, -118.27769)"
43,2277,2276,4553,Figueroa & Pico,"(34.04113, -118.26798)"
45,1779,1895,3674,Figueroa & McCarthy Way,"(34.0203, -118.28118)"
46,2060,1557,3617,Wilshire & Witmer,"(34.05357, -118.26636)"
47,1751,1711,3462,Rose & Main,"(33.99624, -118.47745)"
48,1835,1626,3461,2nd & Hill,"(34.05287, -118.24749)"
49,1699,1680,3379,Hoover & 32nd,"(34.02586, -118.2841)"
50,1909,1308,3217,Pacific & North Venice,"(33.98493, -118.46996)"
51,1479,1660,3139,Imperial & 7th,"(34.0348, -118.23128)"
